,store_name,store_sido,store_address,store_phone
35,의정부민락점,경기 의정부시,"경기도 의정부시 오목로205번길 55 (민락동, 메가타워) .",031-851-3633
36,울산공항1호점,울산 북구,울산광역시 북구 산업로 1103 울산공항 2층 일반대합실 .,052-289-5525
37,양산신도시점,경남 양산시,경상남도 양산시 물금읍 야리로 127 .,055-366-0268
38,세종어진점,세종 세종시,"세종특별자치시 절재로 194 (어진동, 중앙타운) 133호,214호 .",070-7766-1589
39,대구범어점,대구 수성구,대구광역시 수성구 범어천로 44 (범어동) .,053-761-2187
40,전북고창점,전북 고창군,전라북도 고창군 고창읍 중앙로 195 (읍내리) .,063-564-3357
41,의정부시청점,경기 의정부시,경기도 의정부시 시민로 57 .,031-826-0009
42,평택점,경기 평택시,경기도 평택시 평택1로 11 .,031-651-1223
43,한티역점,서울 강남구,"서울특별시 강남구 도곡로 414 (대치동, 삼성빌딩) .",02-538-8886
44,수원성대역점,경기 수원시,경기도 수원시 장안구 서부로2126번길 10 1층,031-309-1660
45,도심공항점,서울 강남구,"서울특별시 강남구 테헤란로87길 22 (삼성동, 한국도심공항터미널, 2층)   .",02-2016-5400
46,안산NC고잔점,경기 안산시 단원구,경기도 안산시 단원구 광덕대로 194  안산NC고잔점 A관 1층,031-436-4181
47,역삼스타점,서울 강남구,"서울특별시 강남구 테헤란로26길 12, 1층 (역삼동 736-56) 할리스",02-501-4142
48,세로수길점,서울 강남구,서울특별시 강남구 강남대로152길 41 (신사동 536-6) 할리스,02-511-1473
49,잠실광고회관점,서울 송파구,"서울특별시 송파구 올림픽로35길 137, 한국방송문화회관 1층 (신천동 7-11) 할리스",02-2144-0888
50,분당수내엔타워점,경기 성남시 분당구,"경기도 성남시 분당구 황새울로200번길 26, 엔타워빌딩 1층 (수내동, 교보생명)",031-712-0341
51,수원역점,경기 수원시 팔달구,경기도 수원시 팔달구 향교로 6 (매산로1가),031-257-3313
52,신촌점,서울 서대문구,서울특별시 서대문구 연세로 34 (창천동 31-12)  할리스,02-393-2004
